original_index,image,problem,solution,schema,netlist
11,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D3F0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: For the circuit shown, the locus of the impedance \(Z(j\omega)\) is plotted as \(\omega\) increases from zero to infinity. The values of \(R_1\) and \(R_2\) are:

**Choices:**
A. \(R_1 = 2k\Omega\), \(R_2 = 3k\Omega\)
B. \(R_1 = 5k\Omega\), \(R_2 = 2k\Omega\)
C. \(R_1 = 5k\Omega\), \(R_2 = 2.5k\Omega\)
D. \(R_1 = 2k\Omega\), \(R_2 = 5k\Omega\)",A,"R1 R N1 N2 NA
R2 R N2 N3 NA
C1 C N2 N3 C
Labels:
Z(jω) Z N1 N3
x axis: Re(Z), unit: kΩ
y axis: -Im(Z), unit: kΩ
curve: semicircle (in 1st quadrant) of radius 1.5 with center at (3.5,0); ω→∞ at (2,0) and ω=0 at (5,0)","* circuit generated from schema
R1 N1 N2 2k
R2 N2 0 3k
C1 N2 0 1u
V1 N1 0 DC 1
.end"
12,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D5A0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Assume that the \(\beta\) of the transistor is extremely large and \(V_{BE}=0.7 \mathrm{~V}\). \(I_C\) and \(V_{CE}\) in the circuit shown in <image> are

Choices  
A. \(I_C=1 \text{ mA}, V_{CE}=4.7 \text{ V}\)  
B. \(I_C=0.5 \text{ mA}, V_{CE}=3.75 \text{ V}\)  
C. \(I_C=1 \text{ mA}, V_{CE}=2.5 \text{ V}\)  
D. \(I_C=0.5 \text{ mA}, V_{CE}=3.9 \text{ V}\)
",C,"V1 V N1 0 5V
Q1 NPN NC NB NE NA
R1 R N1 NB 4kΩ
R2 R NB 0 1kΩ
R3 R N1 NC 2.2Ω
R4 R NE 0 300Ω
Labels:
IC I N1 NC
VEC V NC NE","* circuit generated from schema
V1 N1 0 DC 5
R1 N1 NB 4k
R2 NB 0 1k
R3 N1 NC 2.2k
R4 NE 0 300
Q1 NC NB NE QNPN
.model QNPN NPN (IS=1e-14 BF=100 VAF=100)
.end"
13,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D300>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the static tube voltage drop \( U_{CE} \) is 7V, then the quiescent current \( I_E \) is ( ).
Choices
A. 5mA
B. 10mA
C. 12mA
D. 24mA
",A,"Q1 NPN NC NB NE NA
C1 C N1 NB NA
RB R NB NC NA
RE R NE 0 1kΩ
C2 C NE NL NA
RL R NL 0 1kΩ
Labels:
+12V V NC 0
IE I NE 0; current through RE","* circuit generated from schema
V1 NC 0 DC 12
Q1 NC NB NE QNPN
RB NB NC 100k
RE NE 0 1k
C1 N1 NB 1u
C2 NE NL 1u
RL NL 0 1k
I1 NE 0 DC 0
.model QNPN NPN (IS=1e-14 BF=100 VAF=100 CJE=5p CJC=3p TF=0.1n TR=10n)
.end"
14,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4C7F0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question:In the circuit shown in figure, which contains an ideal diode, when the effective value of the input voltage \( u \) is 10V, the average value of the output voltage \( u_0 \) is ( ).
Choices
A. 12V
B. 9V
C. 4.5V
D. 0V
",D,"D1 D N3 N1 NA
D2 D N4 N1 NA
D3 D N3 N2 NA
D4 D N4 N2 NA
RL R N4 N3 NA
Labels:
u V N1 N2
uo V N4 N3","* circuit generated from schema
V1 N1 0 DC 1
D1 N3 N1 NA
D2 N4 N1 NA
D3 N3 0 NA
D4 N4 0 NA
RL N4 N3 1k
.model NA D(Is=1e-14 N=1.2 Rs=0.1 Cjo=1p)
.end"
15,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4CAC0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the single-phase rectifier consisting of three thyristors \(T_1\), \(T_2\), \(T_3\) and a diode \(D_1\) shown in <image>, the circuit feeds power to a \(10 \, \text{A}\) constant current load. \(T_1\) and \(T_3\) are fired at \(\alpha = 60^\circ\) and \(T_2\) is fired at \(\alpha = 240^\circ\). The reference for \(\alpha\) is the positive zero crossing of \(V_{\text{in}}\). The average voltage \(V_o\) across the load in volts is ____ (Round off to 2 decimal places).

Choices:
A. 25.35  
B. 36.47  
C. 39.79  
D. 48.64
",C,"Vin V N1 N2 100*sin(100πt)
T1 SCR N1 No1 NA
D1 D N2 No1 NA
T2 SCR No2 N1 NA
T3 SCR No2 N2 NA
I1 I No1 No2 10A; independent current source
Labels:
Vo V No1 No2","* circuit generated from schema
V1 N1 N2 SIN(0 100 50)
I1 NO1 NO2 DC 10
D1 N2 NO1 DRECT
XSCR1 N1 NO1 NA SCR
XSCR2 NO2 N1 NA SCR
XSCR3 NO2 N2 NA SCR
Vg NA 0 DC 0
.model DRECT D(IS=1e-14 N=1 RS=0.1 CJO=5p BV=1000 IBV=1e-6)
.model NPNMOD NPN(IS=1e-15 BF=100 VAF=100 CJE=10p CJC=5p TF=1n TR=10n)
.model PNPMOD PNP(IS=1e-15 BF=50 VAF=50 CJE=10p CJC=5p TF=1n TR=10n)
.subckt SCR A K G
Rg G NP 10
Rkg NP K 100
Rle NB K 100
Qn A NB K NPNMOD
Qp NB NP A PNPMOD
.ends SCR
.end"
16,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4C820>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: Replacing the circuit shown in figure (a) with the equivalent current source shown in figure, the parameters of the current source are \( I_S = \) ________ A.
",1.5,"Figure a:
I1 I N1 A 2A; independent current source
I2 I B N1 1A; independent current source
R1 R A N1 2Ω
R2 R N1 B 2Ω
Figure b:
Is I A B NA; independent current source
R R A B R","* circuit generated from schema
.subckt FIGA A B
I1A N1 A DC 2
I2A B N1 DC 1
RA1 A N1 2
RA2 N1 B 2
.ends FIGA
.subckt FIGB A B
IS1 A B DC 1
RB1 A B 1k
.ends FIGB
VAA A1 0 DC 1
XFA A1 0 FIGA
VAB A2 0 DC 1
XFB A2 0 FIGB
.end"
17,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4CAF0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The switches T1 and T2 in <image> (a) are switched in a complementary fashion with sinusoidal pulse width modulation technique. The modulating voltage \( v_m(t) = 0.8 \sin(200\pi t) V \) and the triangular carrier voltage \( v_c \) are as shown in <image> (b). The carrier frequency is 5 kHz. The peak value of the 100 Hz component of the load current \( i_L \), in ampere, is ______.

Choices  
A. 10  
B. 100  
C. 150  
D. 20
",A,"Figure a:
V1 V N0 N1 250V
V2 V N0 N2 250V
L1 L N0 N3 j16
R1 R N3 N4 12
T1 SW_with_antiparallel_diode N4 N1 NA
T2 SW_with_antiparallel_diode N2 N4 NA
Labels:
iL I N4 N0
Figure b:
x axis: t
y axis: v
curves: sinusoidal wave(v_m) with amplitude 0.8, triangular wave(v_c) with amplitude 1
","* circuit generated from schema

.param Fm=100 Fcar=10000

VPLUS N1 0 DC 250
VMINUS 0 N2 DC 250

L1 0 N3 25.465m
R1 N3 N4 12

S1 N4 N1 VG1 0 SWMOD
S2 N2 N4 VG2 0 SWMOD

D1 N4 N1 DBODY
D2 N2 N4 DBODY

Vmod VM 0 SIN(0 0.8 {Fm})
Btri VC 0 V = '2/PI*asin(sin(2*PI*{Fcar}*time))'

Bcmp1 VG1 0 V = '(V(VM)-V(VC) > 0) ? 5 : 0'
Bcmp2 VG2 0 V = '(V(VM)-V(VC) > 0) ? 0 : 5'

IIL N4 0 DC 0

.model DBODY D(Is=1e-14 N=1)
.model SWMOD SW(Ron=1m Roff=10Meg Vt=2.5 Vh=0)

.end"
18,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4C8B0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the transistor amplifier circuit shown in <image>, the transistor has the following parameters: \( \beta_{DC} = 60 \), \( V_{BE} = 0.7V \), \( h_{ie} \rightarrow \infty \), \( h_{fe} \rightarrow \infty \). The capacitance \( C_c \) can be assumed to be infinite.
Under the DC conditions, the collector-to-emitter voltage drop is ( )Volts",6,"Q1 NPN NC NB NE NA; NE(emitter terminal) at GND(0)
vs V N1 0 NA
R1 R N1 N2 5.3kΩ
Cc C N2 NB NA
R2 R N3 NC 1kΩ
R3 R NB NC 53kΩ
Labels:
vc V NC 0
12V V N3 0","* circuit generated from schema
V1 N3 0 DC 12
VS N1 0 AC 1
R1 N1 N2 5.3k
CC N2 NB 10u
R2 N3 NC 1k
R3 NB NC 53k
Q1 NC NB 0 QMOD
.model QMOD NPN (NE=2 BR=4 NR=1 VAR=24 IKR=0.45 RE=1.54 RB=6.17 RC=0.617 XTB=1.5 CJE=20.8p CJC=8.33p TF=611p TR=138n)
.end"
19,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4C8E0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the current value \( I \) is:
Choices
A. -6A
B. -2A
C. 2A
D. 6A
",C,"V1 V N1 N2 4V
I1 I N2 N1 2A; I1 is an independent current source
R1 R N1 N2 1Ω
Labels:
I I N1 N1","* circuit generated from schema
V1 N1 0 DC 4
I1 0 N1 DC 2
R1 N1 0 1
.end"
20,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4C970>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the correct expression reflecting the relationship between voltages \( U_1 \) and \( U \) is ( ).
Choices
A. \( U_1 = \frac{R_2}{R_1 + R_2} U \)
B. \( U_1 = \frac{R_1 + R_2}{R_2} U \)
C. \( U_1 = \frac{R_1}{R_1 + R_2} U \)
D. \( U_1 = \frac{R_1 + R_2}{R_1} U \)
",C,"R1 R N1 N2 NA
R2 R N2 N3 NA
Labels:
U V N1 N3
U1 V N1 N2
U2 V N2 N3
I I N1 N3","* circuit generated from schema
R1 N1 N2 1k
R2 N2 0 1k
VU N1 0 DC 1
VU1 N1 N2 DC 1
VU2 N2 0 DC 1
I1 N1 0 DC 1m
.end"
22,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4C850>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: For the Op-Amp circuit shown in <image>, \( V_0 \) is (  V\)",-0.5,"A1 AMP Nn Np No NA; Np non-inverting input, Nn inverting input
R1 R N1 Nn 1kΩ
R2 R N1 Np 1kΩ
R3 R Np 0 1kΩ
R4 R Nn No 2kΩ
Labels:
1V V N1 0
Vo V No 0","* circuit generated from schema
V1 N1 0 DC 1
R1 N1 Nn 1k
R2 N1 Np 1k
R3 Np 0 1k
R4 Nn No 2k
E1 No 0 Np Nn 1e6
.end"
23,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4DB40>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the figure shown, an integrated operational amplifier circuit uses a ±12 V dual power supply. When the input voltages are \( u_{i1} = 10 \sin \omega t \, \mathrm{mV} \) and \( u_{i2} = 20 \sin \omega t \, \mathrm{mV} \), the output voltage \( u_{\mathrm{o}} \) is 
Choices  
A. \( 3 \sin \omega t \, \mathrm{V} \)  
B. \( 4 \sin \omega t \, \mathrm{V} \)  
C. \( 3 \sin (\omega t + \pi) \, \mathrm{V} \)  
D. \( 4 \sin (\omega t + \pi) \, \mathrm{V} \)
",D,"A1 OpAmp Nn Np No NA; Nn inverting input, Np non-inverting input
R1 R N1 Nn 1kΩ
R2 R N2 Nn 2kΩ
R3 R Nn No 200kΩ
R4 R 0 Np NA
Labels:
ui1 V N1 0
ui2 V N2 0
uo V No 0
+12V V; A1 positive supply
-12V V; A1 negative supply","* circuit generated from schema
Vui1 N1 0 DC 0
Vui2 N2 0 DC 0
Vplus Vp 0 DC 12
Vminus Vn 0 DC -12
R1 N1 Nn 1k
R2 N2 Nn 2k
R3 Nn No 200k
R4 0 Np 10k
EOP No 0 Np Nn 1e6
ROUT No 0 50
.end"
24,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D840>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the potential at point \( a \) is 
Choices 
A. 0  
B. 5V  
C. -5V  
D. 11V

",C,"I1 I 0 N1 1A
R1 R 0 N1 2Ω
V1 V N1 a 3V
V2 V 0 b 6V","* circuit generated from schema
I1 0 N1 DC 1
R1 N1 0 2
V1 N1 a DC 3
V2 0 b DC 6
.end"
25,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D7B0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: The figure shows the circuit of a rectifier fed from a 230 V (rms), 50-Hz sinusoidal voltage source. If we want to replace the current source with a resistor so that the rms value of the current supplied by the voltage source remains unchanged, the value of the resistance (in ohms) is ____ (Assume diodes to be ideal).  ",23,"D1 D N0 N1 NA
D2 D N3 N1 NA
D3 D N2 N0 NA
D4 D N2 N3 NA
V1 V N0 N3 230V,50Hz
I1 I N1 N2 10A; independent current source","* circuit generated from schema
.model NA D(IS=1e-14 N=1 RS=0.1 CJO=1p M=0.5 TT=0.1u BV=100 IBV=0.1m)
D1 N0 N1 NA
D2 0 N1 NA
D3 N2 N0 NA
D4 N2 0 NA
V1 N0 0 SIN(0 230 50)
I1 N1 N2 DC 10
.end"
26,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4DC00>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in the figure, when switch \( K \) is closed, it forms a symmetrical three-phase AC circuit, and the ammeter reads 10A. If switch \( K \) is opened, the ammeter reading is approximately ( ).
Choices
A. 10A
B. 17.32A
C. 14.14A
D. 8.64A
",D,"A1 AMMETER N1 N2 NA
R1 R N2 NR R
K SW N3 N4 NA
R2 R N4 NR R
R3 R N5 NR R","* circuit generated from schema
V1 N1 0 DC 1
Vamm N1 N2 DC 0
R1 N2 NR 1k
Vlink13 N1 N3 DC 0
Vctrl NA 0 DC 1
S1 N3 N4 NA 0 SWMOD
R2 N4 NR 1k
Vlink15 N1 N5 DC 0
R3 N5 NR 1k
Vgnd NR 0 DC 0
.model SWMOD VSWITCH(Ron=1m Roff=1Meg Vt=0.5 Vh=0.1)
.end"
27,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D9C0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: For the circuit shown in the figure, the initial conditions are zero. Its transfer function \( H(s) = \frac{V_c(s)}{V_i(s)} \) is  
**Choices:**  
A. \( \frac{1}{s^2 + 10^6 s + 10^6} \)  
B. \( \frac{10^6}{s^2 + 10^3 s + 10^6} \)  
C. \( \frac{10^3}{s^2 + 10^3 s + 10^6} \)  
D. \( \frac{10^6}{s^2 + 10^6 s + 10^6} \)",D,"R1 R N1 N2 10kΩ
L1 L N2 No 10mH
C1 C No N0 100μF
Labels:
vi(t) V N1 N0
vo(t) V No N0","* circuit generated from schema
V1 N1 0 DC 1
R1 N1 N2 10k
L1 N2 No 10m
C1 No 0 100u
.end"
28,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D3C0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the voltage at point A is ( )
Choices
A. 0
B. \( V_{CC} \)
C. \( u_i \)
D. \( _x000C_rac{1}{2} V_{CC} \)
",C,"VT1 NPN NCn NB NE NA; NCn collector, NB base, NE emitter
VT2 PNP NE NB NCp NA; NE emitter, NB base, NCp(collector) at GND(0)
CL C NE No NA
RL R No 0 NA
Labels:
A Node NE
Vcc V NCn 0
ui V NB 0
uo V No 0","* circuit generated from schema
VCC NCn 0 DC 12
VUI NB 0 DC 1
QVT1 NCn NB NE NPNMOD
QVT2 0 NB NE PNPMOD
CL NE No 10u
RL No 0 1k
.model NPNMOD NPN(IS=1e-14 BF=100 VAF=100)
.model PNPMOD PNP(IS=1e-14 BF=100 VAF=100)
.end"
