index,schema,problem,solution,netlist
32,"*SPICE Netlist for circuit 32
I1 3 0 DC 1mA
M1 2 1 3 3 NMOS W=1u L=1u
V1 1 0 5V
R1 3 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 5 A
B. -2 mA
C. 3.998 A
D. -1 mA",D,"*SPICE Netlist for circuit 32
I1 3 0 DC 1mA
M1 2 1 3 3 NMOS W=1u L=1u
V1 1 0 5V
R1 3 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END"
33,"*SPICE Netlist for circuit 33
I1 VDD 2 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
V1 1 0 5V
R1 1 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 5.118 V
B. -1 mV
C. 10.24 V
D. 118.1 µV",A,"*SPICE Netlist for circuit 33
I1 VDD 2 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
V1 1 0 5V
R1 1 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END"
33,"*SPICE Netlist for circuit 33
I1 VDD 2 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
V1 1 0 5V
R1 1 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 236.2 µA
B. -1 mA
C. 5 A
D. 118.1 µA",D,"*SPICE Netlist for circuit 33
I1 VDD 2 DC 1mA
M1 2 1 0 0 NMOS W=1u L=1u
V1 1 0 5V
R1 1 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END"
34,"*SPICE Netlist for circuit 34
R1 0 1 1k
V1 4 0 5V
M1 1 3 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 5 V
B. 4.307 V
C. -4.307 mV
D. 0 V",B,"*SPICE Netlist for circuit 34
R1 0 1 1k
V1 4 0 5V
M1 1 3 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) I(V1)
.END"
34,"*SPICE Netlist for circuit 34
R1 0 1 1k
V1 4 0 5V
M1 1 3 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 4.307 A
B. -4.307 mA
C. 5 A
D. 0 A",B,"*SPICE Netlist for circuit 34
R1 0 1 1k
V1 4 0 5V
M1 1 3 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4) I(V1)
.END"
35,"*SPICE Netlist for circuit 35
R1 0 2 1k
V1 4 0 5V
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -4.307 mV
B. 0 V
C. 5 V
D. 4.307 V",D,"*SPICE Netlist for circuit 35
R1 0 2 1k
V1 4 0 5V
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END"
35,"*SPICE Netlist for circuit 35
R1 0 2 1k
V1 4 0 5V
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 4.307 A
B. 5 A
C. -4.307 mA
D. 0 A",C,"*SPICE Netlist for circuit 35
R1 0 2 1k
V1 4 0 5V
M1 2 1 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END"
37,"*SPICE Netlist for circuit 37
V1 4 0 5V
R1 0 2 1k
M1 2 1 4 4 PMOS W=1u L=1u
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 0 V
B. 5 V
C. 1.57 V
D. -1.57 mV",C,"*SPICE Netlist for circuit 37
V1 4 0 5V
R1 0 2 1k
M1 2 1 4 4 PMOS W=1u L=1u
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END"
37,"*SPICE Netlist for circuit 37
V1 4 0 5V
R1 0 2 1k
M1 2 1 4 4 PMOS W=1u L=1u
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 5 A
B. -1.57 mA
C. 0 A
D. 1.57 A",B,"*SPICE Netlist for circuit 37
V1 4 0 5V
R1 0 2 1k
M1 2 1 4 4 PMOS W=1u L=1u
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END"
39,"*SPICE Netlist for circuit 39
V1 5 0 5V
V2 4 0 5V
M1 2 1 5 5 NMOS W=1u L=1u
R1 2 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(5) V(VDD) I(V1) I(V2)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 0 V
B. 9.645 V
C. 2.411 V
D. 4.823 V",D,"*SPICE Netlist for circuit 39
V1 5 0 5V
V2 4 0 5V
M1 2 1 5 5 NMOS W=1u L=1u
R1 2 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(5) V(VDD) I(V1) I(V2)
.END"
40,"*SPICE Netlist for circuit 40
R1 0 2 1k
V1 5 0 5V
V2 4 0 5V
M1 2 1 5 5 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(5) I(V1) I(V2)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -4.307 mV
B. 0 V
C. 5 V
D. 4.307 V",D,"*SPICE Netlist for circuit 40
R1 0 2 1k
V1 5 0 5V
V2 4 0 5V
M1 2 1 5 5 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(5) I(V1) I(V2)
.END"
40,"*SPICE Netlist for circuit 40
R1 0 2 1k
V1 5 0 5V
V2 4 0 5V
M1 2 1 5 5 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(5) I(V1) I(V2)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 0 A
B. 5 A
C. 4.307 A
D. -4.307 mA",D,"*SPICE Netlist for circuit 40
R1 0 2 1k
V1 5 0 5V
V2 4 0 5V
M1 2 1 5 5 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(5) I(V1) I(V2)
.END"
68,"V1 V N1 0 NA
V2 V N1 0 NA
I1 I N1 N2 gmV1
R1 R N2 0 NA
R2 R N2 0 NA",2. Does the current through V1 ever become non-zero during the sweep?,"2. No, the current through V1 (I(V1)) remains zero throughout the sweep.","MOSFET small-signal equivalent circuit

* Sources
V1 V N1 DC 5
V2 V N1 DC 5

* Dependent current source (gm*V1)
G1 N2 N1 V 0 1m

* Resistors
R1 N2 0 1k
R2 N2 0 1k

* Models
.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1.0 KP=1.0e-4 LAMBDA=0.02)

* Analysis
.op

.end"
44,"*SPICE Netlist for circuit 44
C1 0 1 1nF
I1 4 0 DC 1mA
M1 1 2 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. -10 V
B. 0 V
C. -22.06 V
D. -11.03 V",D,"*SPICE Netlist for circuit 44
C1 0 1 1nF
I1 4 0 DC 1mA
M1 1 2 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4)
.END"
46,"*SPICE Netlist for circuit 46
C1 0 1 1nF
C2 0 3 1nF
I1 3 1 DC 1mA
M1 3 1 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 10 V
B. -316 mV
C. -631.9 mV
D. -1.264 V",C,"*SPICE Netlist for circuit 46
C1 0 1 1nF
C2 0 3 1nF
I1 3 1 DC 1mA
M1 3 1 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3)
.END"
46,"*SPICE Netlist for circuit 46
C1 0 1 1nF
C2 0 3 1nF
I1 3 1 DC 1mA
M1 3 1 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 5 V
B. 20 V
C. 10 V
D. -631.9 mV",C,"*SPICE Netlist for circuit 46
C1 0 1 1nF
C2 0 3 1nF
I1 3 1 DC 1mA
M1 3 1 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3)
.END"
52,"*SPICE Netlist for circuit 52
C1 2 1 1nF
V1 2 0 5V
M1 1 VDD 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 2.5 V
B. 0 V
C. 10 V
D. 5 V",D,"*SPICE Netlist for circuit 52
C1 2 1 1nF
V1 2 0 5V
M1 1 VDD 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END"
53,"*SPICE Netlist for circuit 53
C1 2 1 1nF
V1 1 0 5V
M1 1 VDD 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 5 V
B. 2.5 V
C. 0 V
D. 10 V",A,"*SPICE Netlist for circuit 53
C1 2 1 1nF
V1 1 0 5V
M1 1 VDD 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END"
55,"*SPICE Netlist for circuit 55
C1 1 2 1nF
V1 2 0 5V
M1 VDD 1 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 10 V
B. 0 V
C. 2.5 V
D. 5 V",D,"*SPICE Netlist for circuit 55
C1 1 2 1nF
V1 2 0 5V
M1 VDD 1 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(VDD) I(V1)
.END"
56,"*SPICE Netlist for circuit 56
C1 3 1 1nF
C2 3 2 1nF
V1 2 0 5V
M1 1 3 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 0 V
B. 10 V
C. 2.5 V
D. 5 V",D,"*SPICE Netlist for circuit 56
C1 3 1 1nF
C2 3 2 1nF
V1 2 0 5V
M1 1 3 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END"
56,"*SPICE Netlist for circuit 56
C1 3 1 1nF
C2 3 2 1nF
V1 2 0 5V
M1 1 3 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 5 V
B. 2.5 V
C. 10 V
D. 0 V",A,"*SPICE Netlist for circuit 56
C1 3 1 1nF
C2 3 2 1nF
V1 2 0 5V
M1 1 3 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END"
61,"*SPICE Netlist for circuit 61
M2 5 1 6 6 PMOS W=1u L=1u
V1 6 0 5V
M1 5 1 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(5) V(6) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 5?
A. 0 V
B. 2.5 V
C. 10 V
D. 5 V",D,"*SPICE Netlist for circuit 61
M2 5 1 6 6 PMOS W=1u L=1u
V1 6 0 5V
M1 5 1 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(5) V(6) I(V1)
.END"
63,"*SPICE Netlist for circuit 63
M1 1 2 0 0 NMOS W=1u L=1u
V1 1 0 5V
V2 2 0 5V
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) I(V1) I(V2)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 5 A
B. 0 A
C. -1.76 mA
D. -880 µA",D,"*SPICE Netlist for circuit 63
M1 1 2 0 0 NMOS W=1u L=1u
V1 1 0 5V
V2 2 0 5V
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) I(V1) I(V2)
.END"
66,"*SPICE Netlist for circuit 66
I1 1 2 DC 1mA
V1 4 0 5V
R1 0 1 1k

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 0 V
B. 5 V
C. 1 mV
D. -1 V",D,"*SPICE Netlist for circuit 66
I1 1 2 DC 1mA
V1 4 0 5V
R1 0 1 1k

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END"
66,"*SPICE Netlist for circuit 66
I1 1 2 DC 1mA
V1 4 0 5V
R1 0 1 1k

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 1 mV
B. 5 V
C. -1 V
D. 0 V",A,"*SPICE Netlist for circuit 66
I1 1 2 DC 1mA
V1 4 0 5V
R1 0 1 1k

.OP
.PRINT OP V(1) V(2) V(4) I(V1)
.END"
68,"*SPICE Netlist for circuit 68
I1 1 2 DC 1mA
V1 5 0 5V
R1 0 1 1k
R2 0 1 1k

.OP
.PRINT OP V(1) V(2) V(5) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -500 mV
B. 0 V
C. 5 V
D. 1 mV",D,"*SPICE Netlist for circuit 68
I1 1 2 DC 1mA
V1 5 0 5V
R1 0 1 1k
R2 0 1 1k

.OP
.PRINT OP V(1) V(2) V(5) I(V1)
.END"
68,"*SPICE Netlist for circuit 68
I1 1 2 DC 1mA
V1 5 0 5V
R1 0 1 1k
R2 0 1 1k

.OP
.PRINT OP V(1) V(2) V(5) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 1 mV
B. 0 V
C. -500 mV
D. 5 V",C,"*SPICE Netlist for circuit 68
I1 1 2 DC 1mA
V1 5 0 5V
R1 0 1 1k
R2 0 1 1k

.OP
.PRINT OP V(1) V(2) V(5) I(V1)
.END"
74,"*SPICE Netlist for circuit 74
I1 1 4 DC 1mA
I2 1 4 DC 1mA
V1 4 0 5V
R1 4 1 1k

.OP
.PRINT OP V(1) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 3 V
B. 5 V
C. 0 V
D. 6 V",A,"*SPICE Netlist for circuit 74
I1 1 4 DC 1mA
I2 1 4 DC 1mA
V1 4 0 5V
R1 4 1 1k

.OP
.PRINT OP V(1) V(4) I(V1)
.END"
76,"*SPICE Netlist for circuit 76
I1 1 3 DC 1mA
I2 1 3 DC 1mA
V1 3 0 5V

.OP
.PRINT OP V(1) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 2 mV
B. 5 V
C. -2 mV
D. -4 mV",C,"*SPICE Netlist for circuit 76
I1 1 3 DC 1mA
I2 1 3 DC 1mA
V1 3 0 5V

.OP
.PRINT OP V(1) V(3) I(V1)
.END"
76,"*SPICE Netlist for circuit 76
I1 1 3 DC 1mA
I2 1 3 DC 1mA
V1 3 0 5V

.OP
.PRINT OP V(1) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 5 A
B. 2 mA
C. -2 mA
D. 4 mA",B,"*SPICE Netlist for circuit 76
I1 1 3 DC 1mA
I2 1 3 DC 1mA
V1 3 0 5V

.OP
.PRINT OP V(1) V(3) I(V1)
.END"
